id,category,review,notes,date,rating,customer_region
1435,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-12-05,5,NA
1436,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-12-06,5,EU
1437,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-12-07,2,APAC
1438,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-12-08,1,NA
1439,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-12-09,5,EU
1440,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-12-10,5,APAC
1441,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-12-11,3,NA
1442,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-12-12,5,EU
1443,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-12-13,5,APAC
1444,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-12-14,3,NA
1445,Grocery,"Chair whispers soft static when moonlight enters � unique-1444","Outlier narrative",2024-12-15,4,EU
1446,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-12-16,2,APAC
1447,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-12-17,1,NA
1448,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-12-18,2,EU
1449,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-12-19,3,APAC
1450,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-12-20,5,NA
1451,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-12-21,5,EU
1452,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-12-22,2,APAC
1453,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-12-23,1,NA
1454,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-12-24,2,EU
1455,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-12-25,5,APAC
1456,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-12-26,1,NA
1457,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-12-27,5,EU
1458,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-12-28,3,APAC
1459,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-12-29,1,NA
1460,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-12-30,5,EU
1461,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-01-01,3,APAC
1462,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-01-02,1,NA
1463,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-01-03,5,EU
1464,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-01-04,5,APAC
1465,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-01-05,5,NA
1466,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-01-06,5,EU
1467,Home,"Puzzle reveals phosphorescent star map � unique-1466","Outlier narrative",2024-01-07,4,APAC
1468,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-01-08,3,NA
1469,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-01-09,5,EU
1470,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-01-10,3,APAC
1471,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-01-11,1,NA
1472,Pets,"Device emitted lavender scent unexpectedly � unique-1471","Outlier narrative",2024-01-12,4,EU
1473,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-01-13,5,APAC
1474,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-01-14,1,NA
1475,Home,"Sauce tastes like smoked cinnamon lightning � unique-1474","Outlier narrative",2024-01-15,4,EU
1476,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-01-16,5,APAC
1477,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-01-17,3,NA
1478,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-01-18,2,EU
1479,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-01-19,5,APAC
1480,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-01-20,1,NA
1481,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-01-21,2,EU
1482,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-01-22,5,APAC
1483,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-01-23,5,NA
1484,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-01-24,5,EU
1485,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-01-25,2,APAC
1486,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-01-26,1,NA
1487,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-01-27,5,EU
1488,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-01-28,2,APAC
1489,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-01-29,3,NA
1490,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-01-30,5,EU
1491,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-01-31,2,APAC
1492,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-02-01,3,NA
1493,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-02-02,5,EU
1494,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-02-03,2,APAC
1495,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-02-04,3,NA
1496,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-02-05,2,EU
1497,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-02-06,5,APAC
1498,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-02-07,1,NA
1499,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-02-08,5,EU
1500,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-02-09,5,APAC
1501,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-02-10,5,NA
1502,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-02-11,3,EU
1503,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-02-12,3,APAC
1504,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-02-13,5,NA
1505,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-02-14,2,EU
1506,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-02-15,2,APAC
1507,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-02-16,1,NA
1508,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-02-17,2,EU
1509,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-02-18,2,APAC
1510,Clothing,"Sauce tastes like smoked cinnamon lightning � unique-1509","Outlier narrative",2024-02-19,4,NA
1511,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-02-20,3,EU
1512,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-02-21,3,APAC
1513,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-02-22,1,NA
1514,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-02-23,2,EU
1515,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-02-24,2,APAC
1516,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-02-25,1,NA
1517,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-02-26,5,EU
1518,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-02-27,5,APAC
1519,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-02-28,1,NA
1520,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-02-29,5,EU
1521,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-03-01,2,APAC
1522,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-03-02,1,NA
1523,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-03-03,2,EU
1524,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-03-04,2,APAC
1525,Grocery,"Wrench resonates faint harmonic at even torque � unique-1524","Outlier narrative",2024-03-05,4,NA
1526,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-03-06,5,EU
1527,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-03-07,2,APAC
1528,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-03-08,5,NA
1529,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-03-09,2,EU
1530,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-03-10,5,APAC
1531,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-03-11,1,NA
1532,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-03-12,5,EU
1533,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-03-13,5,APAC
1534,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-03-14,1,NA
1535,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-03-15,2,EU
1536,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-03-16,3,APAC
1537,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-03-17,1,NA
1538,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-03-18,3,EU
1539,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-03-19,2,APAC
1540,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-03-20,3,NA
1541,Grocery,"Sparse experimental haiku about quantum states � unique-1540","Outlier narrative",2024-03-21,4,EU
1542,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-03-22,5,APAC
1543,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-03-23,5,NA
1544,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-03-24,5,EU
1545,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-03-25,2,APAC
1546,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-03-26,5,NA
1547,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-03-27,2,EU
1548,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-03-28,5,APAC
1549,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-03-29,1,NA
1550,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-03-30,5,EU
1551,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-03-31,2,APAC
1552,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-04-01,1,NA
1553,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-04-02,2,EU
1554,Electronics,"Parrot mimics startup chime with uncanny accuracy � unique-1553","Outlier narrative",2024-04-03,4,APAC
1555,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-04-04,1,NA
1556,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-04-05,2,EU
1557,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-04-06,5,APAC
1558,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-04-07,1,NA
1559,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-04-08,5,EU
1560,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-04-09,5,APAC
1561,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-04-10,1,NA
1562,Electronics,"Sparse experimental haiku about quantum states � unique-1561","Outlier narrative",2024-04-11,4,EU
1563,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-04-12,2,APAC
1564,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-04-13,1,NA
1565,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-04-14,3,EU
1566,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-04-15,5,APAC
1567,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-04-16,5,NA
1568,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-04-17,5,EU
1569,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-04-18,2,APAC
1570,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-04-19,1,NA
1571,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-04-20,3,EU
1572,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-04-21,5,APAC
1573,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-04-22,5,NA
1574,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-04-23,2,EU
1575,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-04-24,2,APAC
1576,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-04-25,5,NA
1577,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-04-26,2,EU
1578,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-04-27,5,APAC
1579,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-04-28,1,NA
1580,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-04-29,5,EU
1581,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-04-30,3,APAC
1582,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-05-01,3,NA
1583,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-05-02,5,EU
1584,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-05-03,5,APAC
1585,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-05-04,5,NA
1586,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-05-05,3,EU
1587,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-05-06,3,APAC
1588,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-05-07,1,NA
1589,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-05-08,3,EU
1590,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-05-09,2,APAC
1591,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-05-10,1,NA
1592,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-05-11,2,EU
1593,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-05-12,2,APAC
1594,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-05-13,3,NA
1595,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-05-14,3,EU
1596,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-05-15,2,APAC
1597,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-05-16,1,NA
1598,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-05-17,5,EU
1599,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-05-18,3,APAC
1600,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-05-19,5,NA
1601,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-05-20,2,EU
1602,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-05-21,2,APAC
1603,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-05-22,1,NA
1604,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-05-23,3,EU
1605,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-05-24,5,APAC
1606,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-05-25,1,NA
1607,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-05-26,5,EU
1608,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-05-27,5,APAC
1609,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-05-28,1,NA
1610,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-05-29,2,EU
1611,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-05-30,2,APAC
1612,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-05-31,1,NA
1613,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-06-01,5,EU
1614,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-06-02,3,APAC
1615,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-06-03,5,NA
1616,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-06-04,2,EU
1617,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-06-05,3,APAC
1618,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-06-06,1,NA
1619,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-06-07,3,EU
1620,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-06-08,2,APAC
1621,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-06-09,1,NA
1622,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-06-10,2,EU
1623,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-06-11,5,APAC
1624,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-06-12,5,NA
1625,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-06-13,3,EU
1626,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-06-14,5,APAC
1627,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-06-15,1,NA
1628,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-06-16,5,EU
1629,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-06-17,3,APAC
1630,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-06-18,5,NA
1631,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-06-19,3,EU
1632,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-06-20,2,APAC
1633,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-06-21,3,NA
1634,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-06-22,2,EU
1635,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-06-23,5,APAC
1636,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-06-24,3,NA
1637,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-06-25,5,EU
1638,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-06-26,2,APAC
1639,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-06-27,1,NA
1640,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-06-28,2,EU
1641,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-06-29,3,APAC
1642,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-06-30,3,NA
1643,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-07-01,2,EU
1644,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-07-02,3,APAC
1645,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-07-03,5,NA
1646,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-07-04,2,EU
1647,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-07-05,3,APAC
1648,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-07-06,1,NA
1649,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-07-07,2,EU
1650,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-07-08,5,APAC
1651,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-07-09,3,NA
1652,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-07-10,2,EU
1653,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-07-11,2,APAC
1654,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-07-12,5,NA
1655,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-07-13,2,EU
1656,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-07-14,5,APAC
1657,Books,"Sauce tastes like smoked cinnamon lightning � unique-1656","Outlier narrative",2024-07-15,4,NA
1658,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-07-16,3,EU
1659,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-07-17,3,APAC
1660,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-07-18,5,NA
1661,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-07-19,2,EU
1662,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-07-20,2,APAC
1663,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-07-21,3,NA
1664,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-07-22,3,EU
1665,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-07-23,2,APAC
1666,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-07-24,3,NA
1667,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-07-25,3,EU
1668,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-07-26,5,APAC
1669,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-07-27,5,NA
1670,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-07-28,2,EU
1671,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-07-29,3,APAC
1672,Pets,"Wrench resonates faint harmonic at even torque � unique-1671","Outlier narrative",2024-07-30,4,NA
1673,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-07-31,5,EU
1674,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-08-01,2,APAC
1675,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-08-02,1,NA
1676,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-08-03,5,EU
1677,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-08-04,5,APAC
1678,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-08-05,5,NA
1679,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-08-06,3,EU
1680,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-08-07,2,APAC
1681,Books,"Sparse experimental haiku about quantum states � unique-1680","Outlier narrative",2024-08-08,4,NA
1682,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-08-09,2,EU
1683,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-08-10,3,APAC
1684,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-08-11,1,NA
1685,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-08-12,5,EU
1686,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-08-13,5,APAC
1687,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-08-14,1,NA
1688,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-08-15,2,EU
1689,Books,"Device emitted lavender scent unexpectedly � unique-1688","Outlier narrative",2024-08-16,4,APAC
1690,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-08-17,3,NA
1691,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-08-18,3,EU
1692,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-08-19,3,APAC
1693,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-08-20,1,NA
1694,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-08-21,5,EU
1695,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-08-22,2,APAC
1696,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-08-23,5,NA
1697,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-08-24,5,EU
1698,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-08-25,2,APAC
1699,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-08-26,1,NA
1700,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-08-27,5,EU
1701,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-08-28,5,APAC
1702,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-08-29,3,NA
1703,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-08-30,5,EU
1704,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-08-31,2,APAC
